policy,network,seed,window_start,objective,loss_mean,avg_bandwidth,bandwidth_saving_vs_b3_pct,missed_pct,false_alarm_pct,precision,recall,f1,avg_aoi,max_aoi,fairness,packet_success_pct,constraint_violation_pct,switching_rate_pct,recovery_aoi
aoi_adaptive,severe_burst,71,12000,0.2082630547213879,0.12274253420086739,1.4374374374374375,52.08541875208542,2.122854561878952,11.366538952745849,0.9605496453900709,0.9787714543812105,0.9695749440715883,1.8682015348682015,15,0.9952700328587921,67.61838440111421,2.122854561878952,34.96993987975952,2.6607142857142856
risk_adaptive,severe_burst,71,12000,0.2267304804804803,0.1053240740740739,2.5225225225225225,15.915915915915917,1.7163504968383017,9.706257982120052,0.9662522202486679,0.982836495031617,0.974473802060009,1.3670337003670336,25,0.9999423691567285,68.80952380952381,1.7163504968383017,5.110220440881764,1.1870967741935483
burst_adaptive,severe_burst,71,12000,0.21335940106773438,0.12953057223890554,1.3163163163163163,56.122789456122796,2.3486901535682025,9.706257982120052,0.966041108132261,0.976513098464318,0.9712488769092543,2.078411745078412,18,0.9986336265319005,66.31178707224335,2.3486901535682025,13.627254509018035,2.865979381443299
max_aoi,severe_burst,71,12000,0.18708208208208207,0.08608608608608607,2.0,33.333333333333336,1.1743450767841013,10.344827586206897,0.9643014543851918,0.988256549232159,0.9761320544278387,1.3997330663997332,23,0.9636139542361074,67.01701701701701,1.1743450767841013,0.0,1.4710144927536233
max_risk,severe_burst,71,12000,0.31844240073406743,0.15112508341675016,2.0,33.333333333333336,2.077687443541102,17.752234993614305,0.9397485912440399,0.979223125564589,0.9590798495907985,5.821154487821154,67,0.9612916741918006,67.01701701701701,2.077687443541102,0.0,14.985507246376812
voi_b2,severe_burst,71,12000,0.1925886302969636,0.09036640807474138,2.0,33.333333333333336,1.3098464317976513,9.067688378033205,0.9685283687943262,0.9869015356820234,0.977628635346756,1.4814814814814814,24,0.98643261154807,67.01701701701701,1.3098464317976513,0.0,1.9130434782608696
event_triggered,severe_burst,71,12000,0.22954266766766748,0.11118931431431411,2.4734734734734736,17.55088421755088,1.987353206865402,8.55683269476373,0.970049172999553,0.980126467931346,0.9750617838687936,1.2942942942942943,20,0.9948574339993642,68.43383245649535,1.987353206865402,12.725450901803606,0.6853146853146853
channel_aware,severe_burst,71,12000,0.24258320820820806,0.10937499999999982,2.1721721721721723,27.59426092759426,1.8066847335140017,8.42911877394636,0.9705357142857143,0.98193315266486,0.9762011674898967,3.088088088088088,49,0.9986863464439946,68.20276497695852,1.8066847335140017,22.44488977955912,4.820809248554913
rabs_h,severe_burst,71,12000,0.21885760760760747,0.10006881881881868,2.5585585585585586,14.714714714714711,1.5356820234869015,10.472541507024266,0.9637488947833776,0.9846431797651309,0.9740840035746202,1.0964297630964297,15,0.9998227811604437,69.20970266040689,1.5356820234869015,8.016032064128256,0.6879432624113475
rabs_l,severe_burst,71,12000,0.19533304137470794,0.11142913747080405,1.2262262262262262,59.12579245912579,2.032520325203252,7.2796934865900385,0.9743935309973046,0.9796747967479674,0.977027027027027,2.323656990323657,24,0.9958219442160537,65.38775510204081,2.032520325203252,21.04208416833667,3.7117117117117115
